date,team,opponent,is_home,xg,xgot,xa,possession_pct,total_shots,shots_on_target,shots_off_target,blocked_shots,shots_inside_box,shots_outside_box,big_chances,corners,passes,long_passes,final_third_passes,crosses,fouls,tackles,duels_won,clearances,interceptions,goalkeeper_saves,xgot_faced,goals_prevented,pass_accuracy
2022-06-12,Sweden,Norway,0,,,,46.0,14.0,4.0,5.0,5.0,,,,5.0,400.0,,,,8.0,,,,,2.0,,,82.25
2021-06-28,Switzerland,France,0,,,,47.0,13.0,5.0,6.0,2.0,,,,5.0,569.0,,,,13.0,,,,,5.0,,,86.11599297012302
2021-11-11,Syria,Iraq,0,,,,49.0,8.0,3.0,3.0,2.0,,,,2.0,400.0,,,,10.0,,,,,4.0,,,76.5
2022-03-29,Syria,Iraq,0,,,,61.0,25.0,6.0,17.0,2.0,,,,9.0,392.0,,,,10.0,,,,,0.0,,,76.53061224489795
2021-09-01,Togo,Senegal,0,,,,38.0,3.0,1.0,2.0,,,,,1.0,,,,,17.0,,,,,6.0,,,
2021-11-11,Togo,Senegal,0,,,,47.0,17.0,6.0,11.0,,,,,3.0,,,,,,,,,,3.0,,,
2023-11-21,Togo,Senegal,0,,,,47.0,9.0,3.0,3.0,3.0,,,,5.0,,,,,14.0,,,,,3.0,,,
2025-03-25,Togo,Senegal,0,,,,43.0,9.0,6.0,3.0,,,,,2.0,,,,,,,,,,2.0,,,
2022-11-30,Tunisia,France,0,,,,66.0,9.0,3.0,4.0,2.0,,,,8.0,636.0,,,,6.0,,,,,2.0,,,88.9937106918239
2021-03-27,Turkey,Norway,0,,,,42.0,10.0,3.0,4.0,3.0,,,,3.0,438.0,,,,13.0,,,,,1.0,,,82.64840182648402
2021-10-08,Turkey,Norway,0,,,,48.0,12.0,2.0,6.0,4.0,,,,5.0,442.0,,,,8.0,,,,,1.0,,,80.99547511312217
2023-01-18,Uganda,Senegal,0,,,,38.0,6.0,1.0,3.0,2.0,,,,3.0,258.0,,,,17.0,,,,,4.0,,,54.65116279069767
2025-08-23,Uganda,Senegal,0,0.23,0.55,0.28,42.0,7.0,3.0,3.0,1.0,4.0,3.0,0.0,5.0,280.0,70.0,75.0,14.0,7.0,15.0,56.0,29.0,9.0,5.0,0.59,0.59,69.28571428571428
2021-03-24,Ukraine,France,0,,,,38.0,5.0,1.0,4.0,0.0,,,,0.0,478.0,,,,3.0,,,,,2.0,,,84.10041841004184
2021-09-04,Ukraine,France,0,,,,58.0,15.0,5.0,7.0,3.0,,,,3.0,674.0,,,,6.0,,,,,2.0,,,92.13649851632047
2025-09-05,Ukraine,France,0,2.42,2.94,1.79,56.0,16.0,6.0,6.0,4.0,9.0,7.0,5.0,4.0,538.0,45.0,184.0,9.0,8.0,19.0,45.0,15.0,7.0,2.0,0.33,0.33,88.66171003717473
2025-11-13,Ukraine,France,0,0.04,0.0,0.08,29.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,299.0,54.0,40.0,1.0,10.0,19.0,38.0,23.0,11.0,6.0,4.43,0.43,74.24749163879598
2021-01-12,United Arab Emirates,Iraq,0,,,,42.0,3.0,0.0,3.0,0.0,,,,1.0,,,,,19.0,,,,,3.0,,,
2021-10-12,United Arab Emirates,Iraq,0,,,,35.0,18.0,3.0,10.0,5.0,,,,4.0,316.0,,,,13.0,,,,,2.0,,,75.9493670886076
2022-03-24,United Arab Emirates,Iraq,0,,,,61.0,5.0,3.0,1.0,1.0,,,,3.0,455.0,,,,12.0,,,,,0.0,,,80.21978021978022
2025-11-13,United Arab Emirates,Iraq,0,0.58,0.89,0.43,49.0,10.0,5.0,2.0,3.0,6.0,4.0,3.0,7.0,352.0,67.0,90.0,19.0,11.0,8.0,35.0,24.0,4.0,3.0,0.57,-0.43,80.68181818181817
2025-11-18,United Arab Emirates,Iraq,0,1.03,1.21,0.81,50.0,13.0,4.0,7.0,2.0,9.0,4.0,2.0,3.0,364.0,50.0,94.0,13.0,12.0,13.0,49.0,28.0,7.0,0.0,0.93,-1.07,79.3956043956044
2021-03-29,Uzbekistan,Iraq,0,,,,39.0,7.0,3.0,4.0,,,,,2.0,,,,,14.0,,,,,5.0,,,
2023-11-21,Vietnam,Iraq,0,,,,56.0,15.0,7.0,8.0,,,,,3.0,,,,,13.0,,,,,0.0,,,
2024-01-24,Vietnam,Iraq,0,0.59,,,37.0,4.0,4.0,0.0,0.0,,,,1.0,327.0,,,,20.0,,,,9.0,1.0,,,76.14678899082568
2024-06-11,Vietnam,Iraq,0,,,,39.0,7.0,4.0,3.0,,,,,2.0,,,,,11.0,,,,,6.0,,,
2021-06-02,Wales,France,0,,,,30.0,10.0,2.0,4.0,4.0,,,,2.0,268.0,,,,2.0,,,,,9.0,,,82.46268656716418
2024-12-22,Yemen,Iraq,0,,,,24.0,5.0,0.0,5.0,,,,,0.0,,,,,7.0,,,,,3.0,,,
2021-06-05,Zambia,Senegal,0,,,,48.0,8.0,1.0,7.0,0.0,,,,4.0,,,,,19.0,,,,,0.0,,,
2022-07-15,Zambia,Senegal,0,,,,53.0,13.0,5.0,8.0,,,,,6.0,,,,,,,,,,2.0,,,
2021-07-13,Zimbabwe,Senegal,0,,,,56.0,5.0,2.0,3.0,,,,,2.0,,,,,,,,,,3.0,,,
2022-01-10,Zimbabwe,Senegal,0,,,,39.0,11.0,2.0,5.0,4.0,,,,4.0,307.0,,,,12.0,,,,,2.0,,,76.2214983713355
2026-06-23,Norway,Senegal,1,2.19,1.95,1.57,42.0,13.0,7.0,3.0,5.0,11.0,2.0,5.0,5.0,353.0,51.0,99.0,10.0,5.0,10.0,39.0,26.0,8.0,2.0,1.35,-0.65,80.0
2026-06-23,Senegal,Norway,0,1.71,1.35,1.75,58.0,16.0,4.0,7.0,3.0,10.0,6.0,3.0,4.0,489.0,58.0,166.0,23.0,13.0,16.0,57.0,18.0,10.0,3.0,1.95,-1.05,88.0
2026-06-22,France,Iraq,1,2.67,2.27,1.95,56.0,19.0,5.0,10.0,4.0,12.0,7.0,5.0,4.0,603.0,30.0,243.0,14.0,8.0,9.0,40.0,9.0,5.0,0.0,0.0,0.0,90.0
2026-06-22,Iraq,France,0,0.62,0.0,0.65,44.0,4.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,481.0,51.0,53.0,9.0,4.0,16.0,38.0,28.0,10.0,1.0,2.27,0.0,86.0
2026-06-15,Cote d Ivoire,Ecuador,1,1.52,1.22,,48,15,4,,,,,2,3,470,,,,,,,,,,0.03,0.03,84
2026-06-15,Ecuador,Cote d Ivoire,0,1.02,0.03,,52,12,1,,,,,1,5,492,,,,,,,,,,1.22,0.22,85
2026-06-20,Germany,Cote d Ivoire,1,1.89,2.36,,59,16,7,,,,,5,8,624,,,,,,,,,,1.1,0.1,89
2026-06-20,Cote d Ivoire,Germany,0,1.22,1.1,,41,9,2,,,,,2,3,431,,,,,,,,,,2.36,0.36,85
2026-06-25,Curacao,Cote d Ivoire,1,0.5,0.06,,37,11,2,,,,,0,4,355,,,,,,,,,,1.85,-0.15,83
2026-06-25,Cote d Ivoire,Curacao,0,1.31,1.85,,63,7,3,,,,,3,6,624,,,,,,,,,,0.06,0.06,89
2026-06-26,Norway,France,1,1.7,1.41,,43,10,4,,,,,4,4,421,,,,,,,,,,3.0,-1.0,81
2026-06-26,France,Norway,0,1.5,3.0,,57,18,9,,,,,3,5,555,,,,,,,,,,1.41,0.41,86
2026-06-30,Cote d Ivoire,Norway,1,1.49,1.40,1.63,47,14,5,9,0,10,4,3,14,401,17,101,7,6,18,50,11,4,1,2.02,0.02,85
2026-06-30,Norway,Cote d Ivoire,0,1.91,2.02,2.58,53,9,4,2,3,8,1,4,3,474,16,106,5,7,11,41,37,5,4,1.40,0.40,88
